country,year,life_ladder,logGDP,social_support,life_exp,freedom,generosity,corruption,continent
Congo (Kinshasa),2016,4.52193546295166,6.63292932510376,0.8641545176506042,50.29008102416992,0.6373667120933533,0.00623833853751421,0.8749996423721313,Africa
Costa Rica,2016,7.135617733001709,9.609200477600098,0.9007012844085693,69.661773681640625,0.8729719519615173,-0.03102230466902256,0.7805620431900024,North America
Cyprus,2016,5.794618606567383,10.323122024536133,0.7864384651184082,72.641937255859375,0.7562209963798523,-0.03673432022333145,0.8976395130157471,Europe
Czech Republic,2016,6.735627174377441,10.323363304138184,0.9305928945541382,69.42073059082031,0.850328266620636,-0.20311008393764496,0.9004307389259338,Europe
Denmark,2016,7.5577826499938965,10.683101654052734,0.9544515013694763,70.9155502319336,0.9482305645942688,0.13132686913013458,0.2098933756351471,Europe
Dominican Republic,2016,5.238698482513428,9.538721084594727,0.8947534561157227,63.30880355834961,0.8727124333381653,-0.08315159380435944,0.7371829748153687,North America
Ecuador,2016,6.1154375076293945,9.22300910949707,0.8423520922660828,67.1619873046875,0.846336305141449,-0.017420640215277672,0.7740841507911682,South America
Egypt,2016,4.556740760803223,9.24643611907959,0.8092185854911804,61.44123077392578,0.6558452248573303,-0.15030179917812347,0.8175274133682251,Africa
El Salvador,2016,6.139824867248535,9.017533302307129,0.7936599850654602,64.10896301269531,0.7998470067977905,-0.1944306492805481,0.7973120212554932,North America
Estonia,2016,5.649675369262695,10.220248222351074,0.9377151131629944,67.37776184082031,0.8427706956863403,-0.15685899555683136,0.6390852928161621,Europe
Ethiopia,2016,4.297848701477051,7.377803802490234,0.7187187075614929,56.04902267456055,0.7443076968193054,0.052286725491285324,0.702880859375,Africa
Finland,2016,7.659843444824219,10.56876277923584,0.9539404511451721,71.3826904296875,0.9483721852302551,-0.03587467595934868,0.24965956807136536,Europe
France,2016,6.475208759307861,10.536247253417969,0.8849229216575623,72.597503662109375,0.7867804765701294,-0.1013936847448349,0.6226970553398132,Europe
Gabon,2016,4.831764221191406,9.860257148742676,0.7800489664077759,56.11114501953125,0.6989423632621765,-0.23598408699035645,0.8165635466575623,Africa
Georgia,2016,4.448386192321777,9.159031867980957,0.5334122776985168,65.85913848876953,0.6064683794975281,-0.23810091614723206,0.5609240531921387,Europe
Germany,2016,6.873763084411621,10.704168319702148,0.9060292840003967,70.86317443847656,0.8705150485038757,0.13694797456264496,0.4459221363067627,Europe
Ghana,2016,4.514411449432373,8.310908317565918,0.6473031640052795,53.69581985473633,0.7511683702468872,0.0952652245759964,0.8939552307128906,Africa
Greece,2016,5.302619457244873,10.11512279510498,0.8026058673858643,71.25013732910156,0.4816168546676636,-0.26776745915412903,0.8984708189964294,Europe
Guatemala,2016,6.358916282653809,8.903938293457031,0.8112354874610901,62.16745376586914,0.8626757264137268,0.009946200996637344,0.812030017375946,North America
Guinea,2016,3.6028547286987305,7.04714822769165,0.6754470467567444,50.493099212646484,0.725685179233551,-0.004052433650940657,0.8027811646461487,Africa
Haiti,2016,3.3523001670837402,7.409858703613281,0.5837424397468567,53.207759857177734,0.3035404086112976,0.2976093888282776,0.8385231494903564,North America
Honduras,2016,5.6481547355651855,8.492579460144043,0.7739099860191345,63.586090087890625,0.850046694278717,0.08091340959072113,0.7928751707077026,North America
"Hong Kong S.A.R., China",2016,5.498420715332031,10.898262977600098,0.8320779204368591,75.99969482421875,0.7997434139251709,0.08164553344249725,0.40281257033348083,Asia
Hungary,2016,5.448901653289795,10.123528480529785,0.8995115756988525,67.30926513671875,0.5539517402648926,-0.19606785476207733,0.9241858124732971,Europe
Iceland,2016,7.510034561157227,10.689029693603516,0.9849400520324707,72.05354309082031,0.9516095519065857,0.2739878296852112,0.7192995548248291,Europe
India,2016,4.179177284240723,8.71315860748291,0.6135293841362,59.3495979309082,0.8200687766075134,0.03512374684214592,0.7647221088409424,Asia
